OBJECTID;WILAYAH;KECAMATAN;KELURAHAN;NO_RT;NO_RW;NO_KEL;NO_KEC;NO_KAB;ID_RT_AR;LUAS_AREA;GENANGAN;TINGGI;FLOOD;KETERANGAN;WAKTU;WAKTU_TEXT;SHAPE.AREA;SHAPE.LEN
36551;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;016;008;1001;03;75;3175031001008016;0,00087744;160 cm;4;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;877,6557809;120,7471158
36552;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;010;008;1001;03;75;3175031001008010;0,00152712;160 cm;4;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;1527,497321;207,7799899
36553;JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;005;005;1005;04;75;3175041005005005;0,04544743;60 cm;2;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;45458,39429;1360,442634
36554;JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;007;005;1005;04;75;3175041005005007;0,07689172;50 cm;2;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;76909,84724;1102,126382
36555;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;018;007;1002;03;75;3175031002007018;0,00658507;40 cm;2;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;6586,738654;407,1312729
36556;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;015;007;1002;03;75;3175031002007015;0,01548003;50 cm;2;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;15483,96425;603,8883083
36557;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;017;007;1002;03;75;3175031002007017;0,01401187;40 cm;2;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;14015,41267;557,656933
36558;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;005;007;1002;03;75;3175031002007005;0,00985004;170 cm;4;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;9852,52048;417,5251198
36559;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;009;007;1002;03;75;3175031002007009;0,00962053;60 cm;2;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;9622,981409;405,6708716
36560;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;013;011;1002;03;75;3175031002011013;0,00831017;40 cm;2;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;8312,280529;430,7060271
35392;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;002;010;1001;01;73;3173011001010002;0,04890982;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;48909,81753;1035,111484
35393;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;008;010;1001;01;73;3173011001010008;0,03426088;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;34260,88382;798,6750424
35394;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;006;010;1001;01;73;3173011001010006;0,03356912;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;33569,11638;778,8651891
35395;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;001;010;1001;01;73;3173011001010001;0,04098124;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;40981,23825;984,0598237
35396;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;012;010;1001;01;73;3173011001010012;0,04015388;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;40153,87616;946,5442308
